samples,method,price AUD,price USD (exchange rate 20210427)
0,Nextera Flex,0,0
96,Nextera Flex,6844,5325.925516
192,Nextera Flex,13688,10651.85103
288,Nextera Flex,20532,15977.77655
384,Nextera Flex,27376,21303.70206
480,Nextera Flex,34220,26629.62758
576,Nextera Flex,41064,31955.5531
672,Nextera Flex,47908,37281.47861
768,Nextera Flex,54752,42607.40413
864,Nextera Flex,61596,47933.32964
960,Nextera Flex,68440,53259.25516
1056,Nextera Flex,75284,58585.18068
1152,Nextera Flex,82128,63911.10619
1248,Nextera Flex,88972,69237.03171
1344,Nextera Flex,95816,74562.95722
1440,Nextera Flex,102660,79888.88274
1536,Nextera Flex,109504,85214.80826
1632,Nextera Flex,116348,90540.73377
1728,Nextera Flex,123192,95866.65929
1824,Nextera Flex,130036,101192.5848
1920,Nextera Flex,136880,106518.5103
2016,Nextera Flex,143724,111844.4358
2112,Nextera Flex,150568,117170.3614
2208,Nextera Flex,157412,122496.2869
2304,Nextera Flex,164256,127822.2124
2400,Nextera Flex,171100,133148.1379
2496,Nextera Flex,177944,138474.0634
2592,Nextera Flex,184788,143799.9889
2688,Nextera Flex,191632,149125.9144
2784,Nextera Flex,198476,154451.84
2880,Nextera Flex,205320,159777.7655
2976,Nextera Flex,212164,165103.691
3072,Nextera Flex,219008,170429.6165
3168,Nextera Flex,225852,175755.542
3264,Nextera Flex,232696,181081.4675
3360,Nextera Flex,239540,186407.3931
3456,Nextera Flex,246384,191733.3186
3552,Nextera Flex,253228,197059.2441
3648,Nextera Flex,260072,202385.1696
3744,Nextera Flex,266916,207711.0951
3840,Nextera Flex,273760,213037.0206
3936,Nextera Flex,280604,218362.9462
4032,Nextera Flex,287448,223688.8717
4128,Nextera Flex,294292,229014.7972
4224,Nextera Flex,301136,234340.7227
4320,Nextera Flex,307980,239666.6482
4416,Nextera Flex,314824,244992.5737
4512,Nextera Flex,321668,250318.4993
4608,Nextera Flex,328512,255644.4248
4704,Nextera Flex,335356,260970.3503
4800,Nextera Flex,342200,266296.2758
0,Hackflex ,0,0
96,Hackflex ,6844,5325.925516
192,Hackflex ,8233.357417,6407.108175
288,Hackflex ,8928.036126,6947.699505
384,Hackflex ,9622.714835,7488.290835
480,Hackflex ,10317.39354,8028.882161
576,Hackflex ,11012.07225,8569.473492
672,Hackflex ,11706.75096,9110.064823
768,Hackflex ,12401.42967,9650.656153
864,Hackflex ,13096.10838,10191.24748
960,Hackflex ,13790.78709,10731.83881
1056,Hackflex ,14485.4658,11272.43015
1152,Hackflex ,15180.1445,11813.02147
1248,Hackflex ,15874.82321,12353.6128
1344,Hackflex ,16569.50192,12894.20413
1440,Hackflex ,17264.18063,13434.79546
1536,Hackflex ,17958.85934,13975.38679
1632,Hackflex ,18653.53805,14515.97812
1728,Hackflex ,19348.21676,15056.56945
1824,Hackflex ,20042.89546,15597.16078
1920,Hackflex ,20737.57417,16137.75211
2016,Hackflex ,21432.25288,16678.34344
2112,Hackflex ,22126.93159,17218.93477
2208,Hackflex ,22821.6103,17759.5261
2304,Hackflex ,23516.28901,18300.11743
2400,Hackflex ,24210.96772,18840.70876
2496,Hackflex ,24905.64643,19381.30009
2592,Hackflex ,25600.32513,19921.89141
2688,Hackflex ,26295.00384,20462.48274
2784,Hackflex ,26989.68255,21003.07407
2880,Hackflex ,27684.36126,21543.6654
2976,Hackflex ,28379.03997,22084.25674
3072,Hackflex ,29073.71868,22624.84807
3168,Hackflex ,29768.39739,23165.4394
3264,Hackflex ,30463.07609,23706.03072
3360,Hackflex ,31157.7548,24246.62205
3456,Hackflex ,31852.43351,24787.21338
3552,Hackflex ,32547.11222,25327.80471
3648,Hackflex ,33241.79093,25868.39604
3744,Hackflex ,33936.46964,26408.98737
3840,Hackflex ,34631.14835,26949.5787
3936,Hackflex ,35325.82706,27490.17003
4032,Hackflex ,36020.50576,28030.76136
4128,Hackflex ,36715.18447,28571.35269
4224,Hackflex ,37409.86318,29111.94402
4320,Hackflex ,38104.54189,29652.53535
4416,Hackflex ,38799.2206,30193.12668
4512,Hackflex ,39493.89931,30733.71801
4608,Hackflex ,40188.57802,31274.30934
4704,Hackflex ,40883.25672,31814.90066
4800,Hackflex ,41577.93543,32355.49199
0,Hackflex 1/2 polymerase,0,0
96,Hackflex 1/2 polymerase,6844,5325.925516
192,Hackflex 1/2 polymerase,7815.552417,6081.97692
288,Hackflex 1/2 polymerase,8301.328626,6460.002622
384,Hackflex 1/2 polymerase,8787.104835,6838.028324
480,Hackflex 1/2 polymerase,9272.881043,7216.054026
576,Hackflex 1/2 polymerase,9758.657252,7594.079728
672,Hackflex 1/2 polymerase,10244.43346,7972.10543
768,Hackflex 1/2 polymerase,10730.20967,8350.131133
864,Hackflex 1/2 polymerase,11215.98588,8728.156836
960,Hackflex 1/2 polymerase,11701.76209,9106.182539
1056,Hackflex 1/2 polymerase,12187.5383,9484.208242
1152,Hackflex 1/2 polymerase,12673.3145,9862.233937
1248,Hackflex 1/2 polymerase,13159.09071,10240.25964
1344,Hackflex 1/2 polymerase,13644.86692,10618.28534
1440,Hackflex 1/2 polymerase,14130.64313,10996.31105
1536,Hackflex 1/2 polymerase,14616.41934,11374.33675
1632,Hackflex 1/2 polymerase,15102.19555,11752.36245
1728,Hackflex 1/2 polymerase,15587.97176,12130.38816
1824,Hackflex 1/2 polymerase,16073.74796,12508.41385
1920,Hackflex 1/2 polymerase,16559.52417,12886.43955
2016,Hackflex 1/2 polymerase,17045.30038,13264.46526
2112,Hackflex 1/2 polymerase,17531.07659,13642.49096
2208,Hackflex 1/2 polymerase,18016.8528,14020.51666
2304,Hackflex 1/2 polymerase,18502.62901,14398.54237
2400,Hackflex 1/2 polymerase,18988.40522,14776.56807
2496,Hackflex 1/2 polymerase,19474.18143,15154.59377
2592,Hackflex 1/2 polymerase,19959.95763,15532.61947
2688,Hackflex 1/2 polymerase,20445.73384,15910.64517
2784,Hackflex 1/2 polymerase,20931.51005,16288.67087
2880,Hackflex 1/2 polymerase,21417.28626,16666.69658
2976,Hackflex 1/2 polymerase,21903.06247,17044.72228
3072,Hackflex 1/2 polymerase,22388.83868,17422.74798
3168,Hackflex 1/2 polymerase,22874.61489,17800.77369
3264,Hackflex 1/2 polymerase,23360.39109,18178.79938
3360,Hackflex 1/2 polymerase,23846.1673,18556.82509
3456,Hackflex 1/2 polymerase,24331.94351,18934.85079
3552,Hackflex 1/2 polymerase,24817.71972,19312.87649
3648,Hackflex 1/2 polymerase,25303.49593,19690.90219
3744,Hackflex 1/2 polymerase,25789.27214,20068.9279
3840,Hackflex 1/2 polymerase,26275.04835,20446.9536
3936,Hackflex 1/2 polymerase,26760.82456,20824.9793
4032,Hackflex 1/2 polymerase,27246.60076,21203.005
4128,Hackflex 1/2 polymerase,27732.37697,21581.0307
4224,Hackflex 1/2 polymerase,28218.15318,21959.0564
4320,Hackflex 1/2 polymerase,28703.92939,22337.08211
4416,Hackflex 1/2 polymerase,29189.7056,22715.10781
4512,Hackflex 1/2 polymerase,29675.48181,23093.13351
4608,Hackflex 1/2 polymerase,30161.25802,23471.15922
4704,Hackflex 1/2 polymerase,30647.03422,23849.18491
4800,Hackflex 1/2 polymerase,31132.81043,24227.21062
